ad_type,campaignName,adGroupName,state,defaultBid,campaign_id,ad_group_id,pulled_at
SPONSORED_PRODUCTS,PARENT SPONGE PT,PARENT SPONGE PT AG,ENABLED,0.60,181672801208852,399029686410547,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT String Winder KW AG,ENABLED,0.60,46067076551215,56493030969751,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT String Winder PT,PARENT String Winder PT AG,ENABLED,0.60,80388367714984,464339558114999,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT TABLET FLOOR STAND KW,PARENT TABLET FLOOR STAND KW AG,ENABLED,0.60,123053441770852,129456425599684,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT TW BLT KW,PARENT TW BLT KW AG,ENABLED,0.60,131593660012497,10680758141733,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT TW BLT PT,PARENT TW BLT PT AG,ENABLED,0.60,100695807026873,345035482811859,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT TW ND KW AG,ENABLED,0.60,126548976749960,37485122870673,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT TW ND PT,PARENT TW ND PT AG,ENABLED,0.60,77528844816443,448304600549372,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT TYPE C KW AG,ENABLED,0.60,128599919800150,260790578331859,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT TYPE C PT,PARENT TYPE C PT AG,ENABLED,0.60,215895302154116,559386150666928,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT UNDR ST KW,PARENT UNDR ST KW AG,ENABLED,0.60,181754397876777,268995256637894,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT VS FLD KW AG,ENABLED,0.60,231870651648916,164332676736791,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT VS FLD PT AG,ENABLED,0.60,226840687500132,474980256656143,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT WALL SPK KW,PARENT WALL SPK KW AG,ENABLED,0.60,97536309573290,181719574759368,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT WALL SPK MTL KW,PARENT WALL SPK MTL KW AG,ENABLED,0.60,55893695056577,167220982052276,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT WF DBL PT,PARENT WF DBL PT AG,ENABLED,0.60,65974833973462,511874264409379,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT WM 301 KW,PARENT WM 301 KW AG,ENABLED,0.60,224922786889576,106423076481984,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT WM 301 PT,PARENT WM 301 PT AG,ENABLED,0.60,163429766783159,481463688702092,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT XLR KW AG,ENABLED,0.60,163978393933539,41281915135017,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT XLR PT AG,ENABLED,0.60,9266667488020,495108851226690,2026-09-19 16:57:30
