Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
5 Core Speaker Stand Tripod Pair Floor Heavy Duty Adjustable Up to 72 Inch DJ Studio Monitor Stands Pole Mount - SS HD 2PK ORG WOB	603182772113729	SS HD 2PK ORG WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable PA DJ Tripod Stands Mount Heavy Duty w 35mm Insert 132 Lbs Capacity 2Pcs	602816726820609		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable PA DJ Tripod Stands Mount Heavy Duty w 35mm Insert 132 Lbs Capacity 2Pcs	602915511077092		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands RED 2Pcs	602655128711259		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	152	2	1.31%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable PA DJ Tripod Stands Mount Heavy Duty w 35mm Insert 132 Lbs Capacity	602740491174922		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable PA DJ Tripod Stands Mount Heavy Duty w 35mm Insert 132 Lbs Capacity	602729753723393		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602463465788462	SS HD 1PK 3FT RED WoB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod 2Pcs Tall Adjustable 72 Inch DJ Studio Monitor Stands Pole Mount	602270192245395		$0.00	$0.00	$20.99	∞	0.00%	$0.00	1	1	254	3	1.18%	33.33%	0	$20.99	∞	0.00%	$0.00	1	1
5Core Speaker Stand Tripod 2Pcs Tall Adjustable 72 Inch DJ Studio Monitor Stands Pole Mount	602918732311980		$0.00	$0.00	$22.61	∞	0.00%	$0.00	1	1	359	21	5.84%	4.76%	3	$22.61	∞	0.00%	$0.00	1	1
5 Core Speaker Stand Height Adjustable PA DJ Tripod Studio Monitor Stands w 35mm Compatible Insert	602739249674921	SS ECO 1PK WH WoB	$0.00	$0.00	$11.49	∞	0.00%	$0.00	1	1	163	2	1.22%	50.00%	1	$11.49	∞	0.00%	$0.00	1	1
5 Core Microphone Cover Soft Foam Mic Windscreen Windproof Sponge for Handheld Mic	603024395177839	SPONGE	$0.00	$0.00	$16.63	∞	0.00%	$0.00	22	27	25,062	486	1.93%	4.52%	132	$15.16	∞	0.00%	$0.00	19	24
5 Core Snare Microphone XLR Wired Uni Directional Tom Drum and Other Musical Instrument Mic COPPER	603213507972998	SNARE XP COPPEREX	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Retro Dynamic Vocal Iconic Microphone Vintage Style Classic Cardioid Unidirectional Mic	602988567429400	RTRO MIC WH	$0.00	$0.00	$45.98	∞	0.00%	$0.00	2	2	3,122	189	6.05%	1.05%	24	$45.98	∞	0.00%	$0.00	2	2
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic BLUE	602314249218050	RTRO MIC CH BLU New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic BLACK RED	603193643783712	RTRO MIC CH BLK-RED New	$0.00	$0.00	$124.95	∞	0.00%	$0.00	5	5	16,547	747	4.51%	0.66%	108	$124.95	∞	0.00%	$0.00	5	5
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic BLACK BLUE	602857562578966	RTRO MIC CH BLK-BLU New	$0.00	$0.00	$239.90	∞	0.00%	$0.00	10	10	8,660	373	4.30%	2.68%	51	$239.90	∞	0.00%	$0.00	10	10
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic BLACK	602846825120585	RTRO MIC CH BLK New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Recording Microphone Podcast Bundle Professional Condenser Cardioid Mic Kit w Boom Arm	603252699579101	RM 7 BG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Duet Piano Bench 3.5 Inch Padded Cushioned Double Seater Wooden Stool	603118985144176	PNB DT CML BRWN	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	59	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602279184828345	PM-883 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602527789582322	PM 817 CH	$5.62	$5.62	$103.87	18.48	5.41%	$0.38	15	17	14,371	460	3.20%	3.26%	84	$97.76	17.40	5.74%	$0.41	14	16
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602577685039991	PM 111 CH 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602400517635328	PM 100 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	6	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 CORE Microphone Dynamic Vocal Handheld Mic Cardioid Unidirectional Microfono w On Off Switch + XLR Audio Cable for Singing - PM 100	602938630054106	PM 100 New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602741598476134	ND-807 CoppereX NEW	$0.00	$0.00	$9.99	∞	0.00%	$0.00	1	1	250	6	2.40%	16.66%	2	$9.99	∞	0.00%	$0.00	1	1
5 Core Music Stand Adjustable 57" Desktop Book Stands Sheet Holder All Metal Portable Bookstand	602384914836162	MUS FLD YLW	$0.00	$0.00	$9.98	∞	0.00%	$0.00	1	1	87	0	0.00%	0.00%	0	$9.98	∞	0.00%	$0.00	1	1
5Core Adjustable Sheet Music Stand – Portable Folding Tripod Note Holder with Carry Bag Blue	602440011235184	MUS FLD HD ACC BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	165	5	3.03%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Adjustable Folding Music Stand – Portable Tripod Sheet Note Holder for Students, Musicians & Performers	602377063081866	MUS FLD BLU New	$0.00	$0.00	$9.26	∞	0.00%	$0.00	1	1	295	8	2.71%	12.50%	1	$9.26	∞	0.00%	$0.00	1	1
5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand	602767166916596	MUS FLD 4S PNK	$1.06	$1.06	$18.68	17.62	5.67%	$0.53	2	2	382	51	13.35%	3.92%	3	$18.68	17.62	5.67%	$0.53	2	2
5 Core Microphone Stand Floor 2 Mic Clips Universal Height Adjustable Tripod Mic Stands w Boom Arm	602647520185531	MS DBL G YLW 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	31	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone Stand Floor 2 Mic Clips Universal Height Adjustable Tripod Mic Stands w Boom Arm	602956757887989	MS DBL G YLW 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	74	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Floor Universal Height Adjustable Tripod Microphone Stands Holds 2 Mics w Extending Telescoping Boom Arm Foldable Portable for Studio On Stage Red - MS DBL G RED	603197401883531	MS DBL G RED New	$0.08	$0.08	$0.00	0.00	0.00%	$0.00	0	0	411	6	1.45%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Tripod Mic Stand Adjustable Heavy Duty Floor Holder Microphone Boom Arm 4 PCS	603123280102844		$0.27	$0.27	$0.00	0.00	0.00%	$0.00	0	0	285	7	2.45%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Floor Height Adjustable Tripod Microphone Stands w Extending Telescoping Boom Arm	602552049457157		$0.00	$0.00	$111.40	∞	0.00%	$0.00	6	10	1,263	43	3.40%	13.95%	12	$100.16	∞	0.00%	$0.00	5	9
5 Core Mic Stand Adapter 5/8 Male to 3/8 Female Screw Thread Conversion Connector	602413436140736	MS ADP M GLD 12PCS	$0.00	$0.00	$6.96	∞	0.00%	$0.00	6	6	4,799	139	2.89%	4.31%	10	$6.96	∞	0.00%	$0.00	6	6
5Core Tripod Mic Stand 4Pcs Adjustable Holder Floor Microphone Boom Arm	602614326469211		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tripod Mic Stand 2Pcs Adjustable Holder Floor Microphone Boom Arm	602871487659999		$0.00	$0.00	$42.98	∞	0.00%	$0.00	2	2	374	17	4.54%	11.76%	2	$42.98	∞	0.00%	$0.00	2	2
5Core Tripod Mic Stand 4Pcs Adjustable Holder Floor Microphone Boom Arm	603088383511120		$0.01	$0.01	$0.00	0.00	0.00%	$0.00	0	0	107	3	2.80%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Tripod Mic Stand 4Pcs Adjustable Holder Floor Microphone Boom Arm	603173209121946		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	143	9	6.29%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tripod Mic Stand 2Pcs Adjustable Holder Floor Microphone Boom Arm	602788272637341	MS 080 SKY BLU 2 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	180	3	1.66%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tripod Mic Stand 2Pcs Adjustable Holder Floor Microphone Boom Arm	602260528551523	MS 080 RED 2 PCS	$0.00	$0.00	$18.99	∞	0.00%	$0.00	1	1	193	7	3.62%	14.28%	0	$18.99	∞	0.00%	$0.00	1	1
5Core Tripod Mic Stand 4Pcs Adjustable Holder Floor Microphone Boom Arm	602418368625655		$0.00	$0.00	$36.99	∞	0.00%	$0.00	1	1	88	1	1.13%	100.00%	0	$36.99	∞	0.00%	$0.00	1	1
5 Core Tripod Mic Stand 2Pcs Adjustable Holder Floor Microphone Boom Arm	602800620696058		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	93	1	1.07%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tripod Mic Stand 2Pcs Adjustable Holder Floor Microphone Boom Arm	602401725587681		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 6.5 Inch Midrange Speaker + Tweeter Combo 500W PMPO 8Ohm Subwoofer 300W PMPO Tweeters	603281556364422	MR6.5-8oHMX2PCS+TW BLT 180X2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	12	5	41.66%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone Clip Holder 6 Pieces Multi Pack with Screw Adapters 5/8 to 3/8 Inch	602360822778368	MC 123478 6PCS	$0.00	$0.00	$2.76	∞	0.00%	$0.00	1	1	928	23	2.47%	4.34%	5	$2.76	∞	0.00%	$0.00	1	1
5Core Keyboard Stand Adjustable z Style Piano Riser + Keyboard Piano Bench	602930442829305	KS Z1 WH HD+KBB WH HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Adjustable Height 34.5" Width 32.5” Z Style Electric Piano Riser 250Lb Capacity	603253068635420	KS Z1 ECO WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Adjustable Height 36.5" Width 32.5” Z Style Electric Piano Riser 250Lb Capacity	602664658152075	KS Z1 ECO BLU WHLS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand Dual X Shape Adjustable Foldable Portable Key Board Stands w Locking Strap	602780085376272		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	19	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand Height Adjustable One Hand Trigger Portable Key Board DJ Stands	602492498719134	KS 2X HAND	$14.34	$14.34	$122.71	8.56	11.68%	$2.05	7	7	5,098	129	2.53%	5.42%	23	$122.71	8.56	11.68%	$2.05	7	7
5Core Keyboard Stand Double X Style Adjustable Piano Riser + Keyboard Piano Bench PINK	602375318300907	KS 2X BPNK+KBB BPNK HD	$4.79	$4.79	$39.99	8.35	11.97%	$4.79	1	1	651	23	3.53%	4.34%	6	$39.99	8.35	11.97%	$4.79	1	1
5 Core Keyboard Stand Dual X Shape Adjustable Foldable Portable Key Board DJ Controller Stands	603162303910009	KS 2X BPNK	$3.29	$3.29	$29.38	8.93	11.19%	$1.65	2	2	1,385	32	2.31%	6.25%	11	$29.38	8.93	11.19%	$1.65	2	2
5Core Keyboard Stand Single X Style Adjustable Piano Riser + Keyboard Piano Bench	603250518525566		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Single X Style Adjustable Piano Riser + Keyboard Piano Bench	602722807982706	KS 1X BLU+KBB 02 BLK	$0.07	$0.07	$0.00	0.00	0.00%	$0.00	0	0	262	2	0.76%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch PA Horn 250W Loud Speaker Pair Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 508 BLK 2PCS	602994967957680		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch PA Horn 250W Loud Speaker Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 508 BLK	603002920396091	HW 508 BLK	$0.03	$0.03	$0.00	0.00	0.00%	$0.00	0	0	463	11	2.37%	0.00%	6	$0.00	0.00	0.00%	$0.00	0	0
5 Core 6 Inch PA Horn 200W Loud Speaker Pair Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 405 WH 2PCS	602534332711694		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 6 Inch PA Horn 200W Loud Speaker Pair Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 405 BLK 2PCS	603129185691917		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 6 Inch PA Horn 200W Loud Speaker Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 405 BLK	602370050238137		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Megaphone 15W Bull Horn Kids PA Speaker w 400 Yards Range Siren Lightweight Loud Mini Megafono	602555170035971	HW 1 SKY BLU	$0.00	$0.00	$74.11	∞	0.00%	$0.00	11	11	2,013	70	3.47%	15.71%	28	$74.11	∞	0.00%	$0.00	11	11
5Core Megaphone 15W Bull Horn PA Speaker w 400 Yards Range Siren Lightweight Loud Mini Megafono	603262866578935	HW 1 BLU	$2.16	$2.16	$76.68	35.50	2.81%	$0.20	11	12	1,372	90	6.55%	12.22%	26	$76.68	35.50	2.81%	$0.20	11	12
5Core Megaphone 15W Bull Horn Kids PA Speaker w 400 Yards Range Siren Lightweight Loud Mini Megafono	602297035808143	HW 1	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Screw On Compression Driver Horn Tweeter Throat 4X10 Heavy Duty Construction	602667912897214	HISE 4X10 1PC	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Heavy Duty Directivity Tweeter Exit Horn Throat Lens Easy Installation	602563759962664	HISE 3X7	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 15x5 Rectangle Plastic Screw-On Horn 4Pcs for Assorted Speaker Cabinets 34mm Throat	602485645279134	HISE 15X5 4Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	602849845077086	GSH HD YLW	$0.00	$0.00	$69.72	∞	0.00%	$0.00	5	7	1,165	19	1.63%	26.31%	4	$69.72	∞	0.00%	$0.00	5	7
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	602731901220875		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	603258940684269	GSH HD RED	$0.02	$0.02	$10.21	510.50	0.19%	$0.02	1	1	1,831	18	0.98%	5.55%	4	$10.21	510.50	0.19%	$0.02	1	1
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	602431253532539		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	603288535674723	GSH HD GR	$8.99	$8.99	$195.14	21.71	4.60%	$0.45	20	23	11,119	313	2.81%	6.38%	68	$187.54	20.86	4.79%	$0.48	19	22
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	602335958924941		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Bass Guitar Strings Phosphor Steel Extra Light Gauge Bright Tone 5 String Set	602571376832028	GS EL BSS 5PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	171	5	2.92%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Electric Guitar Strings Brass Phosphor Bronze Extra Light Gauge (.009–.042) High Carbon Steel Core Bright & Powerful Tone 6 String Set for All Electric Guitars - GS EL	603215521227919	GS EL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Acoustic Guitar Strings Brass Heavy Duty Extra Light Gauge (.010–.048) High Carbon Steel Core Bright & Powerful Tone 6 String Set for All Acoustic Guitars - GS AC	602288278092898	GS AC	$0.00	$0.00	$10.32	∞	0.00%	$0.00	5	8	801	39	4.86%	12.82%	10	$9.03	∞	0.00%	$0.00	4	7
5Core Guitar Rack 9 Slot Multi Guitars Stands Floor Safe Storage for Electric Acoustic Flying V Guitars	602599327677212	GRack 9N1 OVAL New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	152	1	0.65%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Multi Guitar Rack Stand Floor 9 Slot Adjustable Flying V Guitars Holder	602271836437942	GRack 9N1 New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	123	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Rack 7 Slot Multi Guitars Stands Floor Safe Storage for Electric Acoustic Flying V Guitars	603027012460474	GRack 7N1 OVAL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	193	1	0.51%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Multi Guitar Rack Stand Floor 5 Slot Adjustable Flying V Guitars Holder	602893398705690	GRack 5N1	$19.79	$19.79	$315.18	15.93	6.27%	$1.17	17	18	9,041	196	2.16%	8.67%	36	$315.18	15.93	6.27%	$1.17	17	18
5 Core Guitar Wall Mount Hanger Display Wall Hook Soft Padding Holder for All Guitars	602296666656753	GH IRON 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Wall Mount Hanger Hook Metal Base Soft Padding Adjustable Rotatable Holder	603085866924905	GH ABS 1pc	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Foot Stool 3 Level Adjustable Leg Rest Classical Footrest	602817968339877	GFS WD	$1.21	$1.21	$26.97	22.29	4.48%	$0.41	3	3	3,499	119	3.40%	2.52%	10	$17.98	14.86	6.72%	$0.61	2	2
5 Core Amp Stand Heavy Duty Metal Build Adjustable Guitar amplifier Low Profile Folding Fully Collapsible Black - GAS 01 BLK	602333442314004	GAS 01 BLK	$3.00	$3.00	$22.99	7.66	13.04%	$3.00	1	1	1,014	20	1.97%	5.00%	3	$22.99	7.66	13.04%	$3.00	1	1
5Core Guitar Picks 0.71mm Celluloid Medium Gauge Pick - Acoustic Electric Bass Guitars PURPLE	602724217282996	G PICK M PR 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 1.2mm Celluloid Extra Heavy Gauge Pick - Acoustic Electric Bass Guitars PURPLE	602959266042375	G PICK EXH PR 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 15 Inch Guitar Speaker Replacement 2000W 8 Ohm Low Distortion for Electric Guitar Amp Cabinet	603094196804493	FR 15 140 MS GTR	$0.32	$0.32	$38.99	121.84	0.82%	$0.32	1	1	2,429	171	7.03%	0.58%	18	$38.99	121.84	0.82%	$0.32	1	1
5Core 15" Subwoofer Speaker 2Pc 2000W Full Range PA DJ Audio Sub Woofer 8Ohm Bass Replacement Driver	603144620759178	FR 15 140 MS 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Ethernet Cable High Speed Cat6 Network Cord RJ45 Fastest LAN Extension Cable Para Internet	603079692886942	ET 1.5FT BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Compression Driver 2" Horn Tweeter 600W Titanium Diaphragm 16 Ohms 18 TPI All Weather Use	602462291389072	DU 60W	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	22	1	4.54%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Compression Driver Peak Aluminium Tweeter Diaphragm 16 Ohm Throat Twist Horn Speaker	602731397920991	DU 50W	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 4"x6" Direct Thermal Shipping Label/ 4x6 Roll Direct 1000Pcs Perforated paper Sticker/White	602282045326921	DTL 4PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Adjustable 26.5" Drummer Stool w Velvet Top 441Lb Capacity	603105697577866	DS VEL GR REST-SWL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 5" Padded Split Spine Support 4 Legged 441Lb Capacity Stool w Backrest	603258605159053	DS GT BLK-VEL BKREST	$11.71	$11.71	$199.20	17.01	5.87%	$5.86	2	2	249	18	7.22%	11.11%	3	$199.20	17.01	5.87%	$5.86	2	2
5 Core Drum Throne Padded Guitar Stool Saddle Drummer Seat for Adults	602391021772198	DS CH YLW SDL HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne 4" Cushion Padded Stool w Backrest Airlift Height Adjustable Chair w 441Lb Capcity	602922926584366		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Airlift 25" Adjustable Drummer Stool	602955373759992		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 4" Padded Guitar Stool Drummer Chair Adjustable Musician Seat	602659021005597	DS CH ORG SDL HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	74	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Airlift 25" Adjustable Drummer Stool 441Lb Capacity	602802633953212		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 3 Inch Padded Comfortable Guitar Stool 330Lb Capacity Adjustable to 22" Drummer Seat For Adults and Kids Black - DS 01 BLK	602759726248958	DS 01 BLK	$0.00	$0.00	$188.91	∞	0.00%	$0.00	7	9	1,493	79	5.29%	8.86%	15	$188.91	∞	0.00%	$0.00	7	9
