Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
5Core Speaker Stand Tripod Tall Adjustable 36 Inch DJ Pole Mount Studio Monitor Stands	602829443984319	SS HD 1PK 3FT BLK WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands BLUE	602760355358455		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	71	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands RED	602661034241658		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	120	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 4 Inch Subwoofer Pair 200W Car Audio Sub Woofer 4 Ohm Deep Bass Replacement Loud Speaker	602550178802621	WF 4INCH	$14.68	$14.68	$125.82	8.57	11.66%	$1.13	13	18	8,794	440	5.00%	2.95%	72	$125.82	8.57	11.66%	$1.13	13	18
5 Core Microphone Clip Holder 2 Pieces with Screw Adapters 5/8 to 3/8 Inch	602854207102730	MC 04 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Wireless Phone Charging Pad 15W Qi-Certified Fast Charger Mat Cargador	602962495674038	CDKW04 WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core DJ Light Stand Stage Lighting Truss System Hand Crank Heavy Duty Adjustable T bar Mount Tripod	602608320233283	LS 120 CRANK 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core DJ Light Stand Stage Lighting Truss System Hand Crank Heavy Duty Adjustable T bar Mount Tripod	602216941332339	LS 120 CRANK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Bench 2 Inch Padded Cushioned Piano Stool Height Adjustable 19" Guitar Seat Portable	602458667450640	KBB 02 PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Adjustable z Style Piano Riser + Keyboard Piano Bench	603212836929270	KS Z1 WH HD WHLS+KBB WH HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Compression Driver 2Pc 1″ PA Horn Tweeter Pro Audio 2000W 2″ Voice Coil 33 OZ Magnet 8Ohm	603148152346150	CD 135 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 12 Inch DJ Subwoofer Speaker Audio Replacement Sub woofer	602857428338738	WF 12120 8OHMS	$12.94	$12.94	$80.97	6.26	15.98%	$6.47	2	3	1,015	41	4.03%	4.87%	6	$80.97	6.26	15.98%	$6.47	2	3
5Core Speaker Stand Tripod 2Pcs Tall Adjustable 72 Inch DJ Studio Monitor Stands Pole Mount	602311573210924	SS ECO 2PK ORG WoB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne Adjustable Guitar Stool Padded Seat + Drum Practice Pad Snare Drumming Stand	602801526696367	DS CH ORG + DPAD COMBO ORG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 10" Subwoofer Speaker 300W RMS Full Range Car Audio Sub Woofer 4 Ohm Bass Replacement Driver	602567358703861	CSW 10 185 AL 4OHMS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 CORE 10 Inch Subwoofer Speaker 600W Max 4 Ohm Full Range Replacement DJ Bass Loudspeaker	602634626897686	FR 10 185 AL 4OHMS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8" Subwoofer 1000W Dual Cone Car Audio Sub Woofer 4 Ohm Deep Bass Replacement Loud Speaker	602644567452552		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Fast Wireless Charger Fast Qi-Certified Slim Glass-Top Charger	602340958552107	CDKW03	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone Wireless Karaoke Singing Mic Rechargeable Microfonos Inalambricos w RGB Lights	602988164804149		$8.40	$5.11	$98.97	11.78	8.48%	$2.80	3	3	4,384	160	3.64%	1.87%	31	$65.98	12.91	7.74%	$2.56	2	2
5 Core Microphone Wireless Karaoke Mic With Speaker 3 in 1 Portable Bluetooth Microfono Inalambrico	602208988952493		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone Wireless Karaoke Mic With Speaker 3 in 1 Portable Bluetooth Microfono Inalambrico	602869877057305		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone Wireless Karaoke Mic With Speaker 3 in 1 Portable Bluetooth Microfono Inalambrico	602830685472267		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603279543098077	PM 816 New	$0.00	$0.00	$120.28	∞	0.00%	$0.00	21	24	17,103	377	2.20%	5.57%	76	$115.63	∞	0.00%	$0.00	20	23
5Core AC Power Cord 10Ft 3 Prong US Male to Female Extension Adapter 16AWG/2C 125V 13A	602391424389569	PL 1002	$0.00	$0.00	$166.10	∞	0.00%	$0.00	48	70	21,173	815	3.84%	5.88%	136	$151.76	∞	0.00%	$0.00	44	64
5 Core Audio Mixer 8 Channel DJ Equipment with Bluetooth USB Console Sound Board	602871387002666	MX 8CH L	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Audio Mixer 12 Channel DJ Equipment with Bluetooth USB Console Sound Board	603279408859708	MX 12CH L	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Audio DJ Mixer 20 Channel Sound Board Console w 24 SPX Effect 48V Phantom Power	602971916099034	MX 20CH XU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 4Pcs Floor Height Adjustable Tripod Microphone Stands w Telescoping Boom Arm	602438409006561		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	88	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 4Pcs Floor Height Adjustable Tripod Microphone Stands w Telescoping Boom Arm	602438409018033		$4.20	$4.20	$37.04	8.82	11.33%	$4.20	1	1	568	20	3.52%	5.00%	15	$37.04	8.82	11.33%	$4.20	1	1
5 Core Mic Stand 4Pcs Floor Height Adjustable Tripod Microphone Stands w Telescoping Boom Arm	603125603787438		$0.01	$0.01	$0.00	0.00	0.00%	$0.00	0	0	148	2	1.35%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 4 Pcs Floor Height Adjustable Tripod Microphone Stands w Extending Telescoping Boom Arm	602850725850117		$0.13	$0.13	$37.12	285.54	0.35%	$0.13	1	1	291	11	3.78%	9.09%	1	$37.12	285.54	0.35%	$0.13	1	1
5 Core Tripod Mic Stand 2Pcs Adjustable Holder Floor Microphone Boom Arm	602314215680134	MS 080 WH 2 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	158	3	1.89%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand Z Shape Adjustable Foldable Heavy Duty Key Board Piano DJ Controller Stands	602781125599642	KS Z1 BLK HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Z Style Height Adjustable Sturdy Piano Riser Lift Holder Stands	602826289838280	KS Z1 WH	$5.01	$5.01	$102.00	20.36	4.91%	$1.01	5	5	1,846	94	5.09%	5.31%	18	$102.00	20.36	4.91%	$1.01	5	5
5 Core 8 Inch PA Horn 250W Loud Speaker 4Pcs Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 508 BLK 4PCS	602659465574563	HW 508 BLK 4PCS	$0.06	$0.06	$119.97	1999.50	0.05%	$0.03	2	3	488	13	2.66%	15.38%	1	$119.97	1999.50	0.05%	$0.03	2	3
5 Core Party Speaker w Microphone 400W Big Rechargeable Bluetooth Loud PA DJ Karaoke System w Stand	602370083807432	ACTIVE HOME 10 2-MIC	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Stand 2PCs A Frame w Soft Foam Arms Non-Slip Rubber Support for Acoustic Electric Bass Guitar Ukulele & Banjo Stable Foldable Metal Floor Stand for School Studio & Stage – GSS BLK 2PCS	602799983183523	GSS BLK 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	4	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Rock Speaker Outdoor BT Garden Speakers Solar & USB Charging RGB Colors for Patio Pool & Home	602437863731833	GRDNSPK MC GRY 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	7	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Amp 50 Watt Electric Amplifier w Built in 8" Speaker Portable Mini Amps w Aux	603285851315072	GA 50 BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	12	1	8.33%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 4"x6" Direct Thermal Shipping Label/ 4x6 Roll Direct 4000Pcs Perforated paper Sticker/White	602925174771434	DTL 16PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne Padded Guitar Stool Saddle Drummer Seat for Adults	603029193522054	DS CH RED SDL HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne Padded Guitar Stool Saddle Drummer Seat for Adults & Kids	603132985765141	DS CH CHERRY SDL HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne Adjustable Guitar Stool Padded Seat + Drum Practice Pad Snare Drumming Stand	603195657040587	DS CH BLK + DPAD COMBO GREY	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne Adjustable Guitar Stool Padded Seat + Drum Practice Pad Snare Drumming Stand	602681267588297	DS CH BLK +DPAD COMBO BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Professional 2 Way Passive Crossover Network High Performance & Low Resistance Air Core Coil	602289964216288	NW 04 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
